tiempo_dias,Caudal_Prod_Petroleo_bbl,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua
1396.0,0.0,0.0,45309494.71633818,37713424193.634834,22143535.12557388,87942222.08366592
1398.857177734375,0.0,0.0,45309494.71633818,37713424193.634834,22143535.12557388,87942222.08366592
1401.0,0.0,0.0,45309494.71633818,37713424193.634834,22143535.12557388,87942222.08366592
1403.1214599609375,11985.378768478256,39164.790519610986,45334921.27637591,37733964333.856895,22191859.741719782,88025304.19412684
1405.2427978515625,12050.21403347473,39164.790519610986,45360483.06734519,37754642342.53774,22239970.50429952,88108392.59439854
1409.0614013671875,11799.723394478311,39164.790519610986,45405543.27170146,37791080298.156136,22327938.22527605,88257945.42507684
1411.0,11674.493047063846,39164.790519610986,45428174.01085193,37809380640.95741,22372944.96624078,88333869.73088151
1416.815673828125,19915.947180407056,68701.52691176443,45544000.87618147,37903291662.78472,22612486.11960546,88733417.38042422
1421.0,19192.63736903705,68701.52691176443,45624306.035187446,37968372355.752815,22789173.19394553,89020886.8918563
1422.0889892578125,8932.20849226464,37425.76840478593,45634033.22754326,37976192435.54686,22815090.359223317,89061638.57583512
1424.2669677734375,9313.180457173576,37425.76840478593,45654317.867276505,37992528717.84495,22865721.76346912,89143154.52341433
1431.0,9808.224344213722,37425.76840478593,45720357.73545612,38045822787.65525,23017425.70943075,89395143.21229284
1434.300048828125,6965.179969227916,24318.85310936537,45743343.848915085,38064324282.79805,23065357.212403536,89475394.90790726
1441.0,7446.056426052239,24318.85310936537,45793231.48303734,38104559271.38003,23158034.429194104,89638332.45590411
1451.0,17029.866894353225,58209.1766188316,45963531.25454047,38242491014.05956,23498869.84010425,90220422.99361376
1454.300048828125,12423.048095020476,45077.66718051741,46004525.09623395,38275606565.834816,23587529.440265477,90369177.01832429
1457.6500244140625,12465.17723527315,45077.66718051741,46046283.149935976,38309341395.60532,23677325.92372338,90520189.0851012
1461.0,12481.074517010558,45077.66718051741,46088094.66702955,38343121428.14921,23767045.356999356,90671201.15187812
1462.0889892578125,5403.912191082405,21827.81931473718,46093981.92991027,38347822516.58031,23783370.560852885,90694970.34677796
1464.2669677734375,5823.884130741922,21827.81931473718,46106665.33332798,38357997660.86725,23814690.673582103,90742508.73657762
1471.0,6390.939901585572,21827.81931473718,46149693.92880555,38392632025.82794,23906007.718793653,90889476.45502944
1481.0,11728.19599194872,36819.1118563441,46266976.88532835,38487435802.42942,24136112.583550643,91257669.3978837
1491.0,14868.40014265371,58239.69202889543,46415661.72212038,38607557652.3988,24461435.748649277,91840061.8465103
1501.0,14074.901202700898,58663.1240554977,46556408.817720674,38721757939.05593,24833434.027019385,92426693.6275959
1506.0,15577.932565784356,63213.74686605272,46634298.68939097,38785059902.891685,25035612.13195757,92742762.90859915
1511.0,15198.72423556032,63213.74686605272,46710292.18311411,38846802371.04596,25240509.007601097,93058832.18960243
1521.0,14704.349101593984,60542.40157962176,46857335.37929517,38966210017.196,25645193.8600902,93664257.92526878
1531.0,14687.039837189825,60581.16622392788,47004208.75058544,39085423291.420525,26054390.07935409,94270067.33939213
1541.0,14251.6439639789,58704.222809269246,47146723.2830121,39201033904.60699,26457695.890831877,94857114.24798852
1551.0,11584.394886099928,55685.709451822266,47262569.01777395,39294748294.37011,26845858.982880883,95413970.06488892
1561.0,15160.658288495491,62310.79047695792,47414175.47166865,39417663675.73413,27264760.380162884,96037076.45862974
1571.0,14751.273915439117,62630.70474876838,47561687.25875208,39537206930.2043,27688986.10226169,96663384.3660525
1581.0,14528.21443725566,60887.51809126553,47706969.30791754,39654933033.18475,28105673.48615265,97272256.9180208
1591.0,14404.813755254392,58838.599948151365,47851018.55417208,39771660154.8736,28525449.16713168,97860643.55631123
1601.0,14698.063897618982,63753.78608763319,47997998.85224544,39890751381.61001,28951615.29585303,98498185.0657692
1611.0,14105.897255042804,59756.42092910496,48139057.29347885,40005010431.87252,29362720.472685613,99095748.53797305
1621.0,14308.73443878531,60388.847888763135,48282144.19868557,40120896781.97657,29785166.17833651,99699633.27000074
